participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.05,right,left,FALSE,left,0.2618190999999115,TRUE
001,0.0375,left,right,FALSE,right,0.33423149999998714,TRUE
001,0.075,left,left,TRUE,left,0.2321755000000394,TRUE
001,0.0125,left,right,FALSE,right,0.3620797000000948,TRUE
001,0.025,right,right,TRUE,right,0.2858850000000075,TRUE
001,0.0625,left,left,TRUE,left,0.20682479999982206,TRUE
001,0.05,right,left,FALSE,left,0.30294630000003053,TRUE
001,0.05,left,left,TRUE,left,0.23364229999992858,TRUE
001,0.05,left,left,TRUE,left,0.21754009999995105,TRUE
001,0.05,right,right,TRUE,right,0.3216265000000931,TRUE
001,0.0625,right,right,TRUE,right,0.28196150000007947,TRUE
001,0.0125,left,left,TRUE,left,0.29705139999987296,TRUE
001,0.075,left,right,FALSE,right,0.3291712999998708,TRUE
001,0.025,left,left,TRUE,left,0.5232075999999779,TRUE
001,0.0125,left,right,FALSE,right,0.3281747999999425,TRUE
001,0.075,right,right,TRUE,right,0.5347643000000062,TRUE
001,0.0625,left,left,TRUE,left,0.32020189999980175,TRUE
001,0.0625,right,right,TRUE,right,0.18805169999995996,TRUE
001,0.0625,left,right,FALSE,right,0.3364650000000893,TRUE
001,0.05,right,right,TRUE,right,0.2124684000000343,TRUE
001,0.0125,right,right,TRUE,right,0.22047500000007858,TRUE
001,0.075,right,right,TRUE,right,0.17749830000002476,TRUE
001,0.025,right,left,FALSE,left,0.32325799999989613,TRUE
001,0.025,right,left,FALSE,left,0.27547600000002603,TRUE
001,0.0125,right,left,FALSE,left,0.3046486000000641,TRUE
001,0.0375,right,right,TRUE,right,0.25729969999997593,TRUE
001,0.025,left,right,FALSE,right,0.4152615999998943,TRUE
001,0.025,left,left,TRUE,left,0.5544339000000491,TRUE
001,0.05,left,right,FALSE,right,0.5273506999999427,TRUE
001,0.0125,right,left,FALSE,left,0.2899099999999635,TRUE
001,0.075,right,left,FALSE,left,0.43087649999984023,TRUE
001,0.0125,left,right,FALSE,right,0.2739725000001272,TRUE
001,0.05,left,left,TRUE,left,0.24528559999998834,TRUE
001,0.0375,right,left,FALSE,left,0.5186441000000741,TRUE
001,0.0375,right,left,FALSE,left,0.23204630000009274,TRUE
001,0.0125,left,left,TRUE,left,0.30923100000018167,TRUE
001,0.0125,right,right,TRUE,right,0.3633600999999089,TRUE
001,0.075,left,right,FALSE,right,0.52350760000013,TRUE
001,0.0375,right,right,TRUE,right,0.36551009999993767,TRUE
001,0.075,right,right,TRUE,right,0.40157460000000356,TRUE
001,0.0125,right,right,TRUE,right,0.33223320000001877,TRUE
001,0.05,left,right,FALSE,right,0.34420760000011796,TRUE
001,0.0375,right,right,TRUE,right,0.29226340000013806,TRUE
001,0.075,left,right,FALSE,right,0.40488059999984216,TRUE
001,0.0375,left,left,TRUE,left,0.3921772000001056,TRUE
001,0.0625,left,left,TRUE,left,0.3418670999999449,TRUE
001,0.0625,right,right,TRUE,right,0.3826007000000118,TRUE
001,0.0125,left,right,FALSE,right,0.3844403999999031,TRUE
001,0.0375,right,left,FALSE,left,0.38792949999992743,TRUE
001,0.05,left,right,FALSE,right,0.6079584000001432,TRUE
001,0.05,right,right,TRUE,right,0.362902700000177,TRUE
001,0.025,left,right,FALSE,right,0.40207969999983106,TRUE
001,0.05,right,left,FALSE,left,0.18805590000010852,TRUE
001,0.0375,left,left,TRUE,left,0.4626981999999771,TRUE
001,0.05,right,left,FALSE,left,0.40241040000000794,TRUE
001,0.0625,right,left,FALSE,left,0.36448440000003757,TRUE
001,0.05,left,right,FALSE,right,0.37501800000018193,TRUE
001,0.0125,right,right,TRUE,right,0.3153666000000612,TRUE
001,0.0125,left,left,TRUE,left,0.37546210000004976,TRUE
001,0.0625,right,right,TRUE,right,0.3504871000000094,TRUE
001,0.0375,left,left,TRUE,left,0.3415926000000127,TRUE
001,0.025,left,left,TRUE,left,0.566414800000075,TRUE
001,0.025,right,left,FALSE,left,0.3404846000000816,TRUE
001,0.0375,right,left,FALSE,left,0.36597180000012486,TRUE
001,0.0125,left,left,TRUE,left,0.48522509999997965,TRUE
001,0.075,left,left,TRUE,left,0.3940382000000682,TRUE
001,0.05,left,left,TRUE,left,0.4794408000000203,TRUE
001,0.0375,left,left,TRUE,left,0.42013269999984004,TRUE
001,0.0625,right,left,FALSE,left,0.45248639999999796,TRUE
001,0.0625,left,left,TRUE,left,0.20975309999994352,TRUE
001,0.025,left,right,FALSE,right,0.34796410000012656,TRUE
001,0.025,left,right,FALSE,right,0.345624399999906,TRUE
001,0.0375,left,right,FALSE,right,0.3665217999998731,TRUE
001,0.075,right,left,FALSE,left,0.43856720000007954,TRUE
001,0.025,right,left,FALSE,left,0.370271399999865,TRUE
001,0.0125,right,left,FALSE,left,0.3333608999998887,TRUE
001,0.0375,left,right,FALSE,right,0.37658920000012586,TRUE
001,0.075,left,right,FALSE,right,0.45994820000009895,TRUE
001,0.0125,right,left,FALSE,left,0.25382599999989,TRUE
001,0.025,left,left,TRUE,left,0.27784650000012334,TRUE
