participant,soa,prime_presence,answer,rt,accuracy
001,0.025,absent,absent,2.416232200000195,TRUE
001,0.025,absent,absent,2.003461600000037,TRUE
001,0.075,absent,absent,1.6364690000000337,TRUE
001,0.05,present,present,3.0113834999999654,TRUE
001,0.075,present,absent,2.947909299999992,FALSE
001,0.05,absent,absent,2.6908350999999584,TRUE
001,0.0375,present,present,0.8689460000000508,TRUE
001,0.05,absent,absent,1.2201516999998603,TRUE
001,0.075,present,present,0.8677759999998216,TRUE
001,0.0125,present,present,2.0049587999999403,TRUE
001,0.0625,absent,absent,1.3951649999999063,TRUE
001,0.025,present,present,0.7731330999999955,TRUE
001,0.0625,present,present,1.2031899999999496,TRUE
001,0.05,present,present,0.8194908000000396,TRUE
001,0.0375,absent,absent,0.6445133000001988,TRUE
001,0.0125,absent,absent,1.1882272000000285,TRUE
001,0.05,present,present,0.5775395999999091,TRUE
001,0.0375,absent,absent,0.947099900000012,TRUE
001,0.05,present,present,0.4981235000000197,TRUE
001,0.05,present,present,1.0266836000000694,TRUE
001,0.0625,present,present,0.4833492000000206,TRUE
001,0.0125,present,absent,1.4584317999999712,FALSE
001,0.075,present,present,0.561900999999807,TRUE
001,0.075,absent,absent,0.8369012999999086,TRUE
001,0.025,present,absent,1.1075690000000122,FALSE
001,0.0125,present,present,1.620388400000138,TRUE
001,0.0625,absent,absent,0.8186534999999822,TRUE
001,0.05,absent,present,1.476368999999977,FALSE
001,0.075,present,present,0.8506045999999969,TRUE
001,0.025,present,absent,2.178916599999866,FALSE
001,0.0625,present,present,1.028096499999947,TRUE
001,0.0625,absent,absent,0.5314456999999493,TRUE
001,0.025,absent,absent,1.4933406999998624,TRUE
001,0.0625,present,present,0.5625091000001703,TRUE
001,0.0375,absent,absent,0.9957014999999956,TRUE
001,0.0625,present,present,0.5643844000001081,TRUE
001,0.05,present,present,0.5937976000000162,TRUE
001,0.0125,present,absent,0.7250571000001855,FALSE
001,0.075,present,present,0.5318247000000156,TRUE
001,0.025,present,absent,0.6910024999999678,FALSE
001,0.025,present,absent,0.3892169000000649,FALSE
001,0.0375,absent,absent,0.4181266999999025,TRUE
001,0.05,absent,absent,0.9298766000001706,TRUE
001,0.0125,present,present,1.1543663999998444,TRUE
001,0.0375,present,present,1.4765548000000308,TRUE
001,0.0375,absent,absent,0.7701279000000341,TRUE
001,0.025,present,absent,0.40465919999996913,FALSE
001,0.075,present,present,0.8348094999998921,TRUE
001,0.025,present,absent,1.0929685999999492,FALSE
001,0.05,present,present,0.7720941000000039,TRUE
001,0.0125,present,absent,0.6916272000000845,FALSE
001,0.0125,absent,absent,0.5960023000000092,TRUE
001,0.075,present,present,1.0255352000001494,TRUE
001,0.0625,absent,absent,1.0436859000001277,TRUE
001,0.0125,present,present,0.5490182000000914,TRUE
001,0.025,absent,absent,1.9220937999998569,TRUE
001,0.0625,present,present,1.5069275999999263,TRUE
001,0.05,absent,absent,1.269030900000189,TRUE
001,0.05,present,present,0.5486642999999276,TRUE
001,0.0125,absent,absent,1.0282003999998324,TRUE
001,0.0375,present,present,0.9631819999999607,TRUE
001,0.0375,present,present,0.5163622000000032,TRUE
001,0.0125,present,absent,0.4974386000001232,FALSE
001,0.0625,absent,absent,0.7410036000001128,TRUE
001,0.0375,present,present,1.5392970999998852,TRUE
001,0.0125,present,present,2.3381223999999747,TRUE
001,0.075,present,present,0.739204299999983,TRUE
001,0.0375,present,absent,0.40354600000000573,FALSE
001,0.075,present,present,0.38545219999991787,TRUE
001,0.0125,present,absent,1.0449612999998408,FALSE
001,0.05,present,present,0.6751056999999037,TRUE
001,0.0375,present,present,0.5938049999999748,TRUE
001,0.075,present,present,1.2262685999999121,TRUE
001,0.0375,present,present,1.1085657999999512,TRUE
001,0.0625,present,present,0.6761948999999277,TRUE
001,0.025,absent,absent,0.4850773999999092,TRUE
001,0.075,absent,absent,0.30830379999997604,TRUE
001,0.0125,absent,absent,0.17922589999989214,TRUE
001,0.0625,present,present,1.2980159000001095,TRUE
001,0.0375,absent,absent,0.43378389999998035,TRUE
001,0.075,absent,absent,0.33902549999993425,TRUE
001,0.05,absent,absent,1.4134397000000263,TRUE
001,0.075,absent,absent,0.3080535999999938,TRUE
001,0.0125,present,absent,0.9303167999999005,FALSE
001,0.0375,present,present,1.9251400999999078,TRUE
001,0.05,present,present,2.0814900000000307,TRUE
001,0.05,present,present,0.44567540000002737,TRUE
001,0.0125,absent,absent,0.2757520000000113,TRUE
001,0.0125,absent,absent,2.866671199999928,TRUE
001,0.075,present,present,1.5675403000000188,TRUE
001,0.025,present,present,1.107945799999925,TRUE
001,0.05,present,absent,1.8133040000000165,FALSE
001,0.0375,present,present,2.4521793999999772,TRUE
001,0.05,present,present,0.546546699999908,TRUE
001,0.0625,present,present,0.6105405000000701,TRUE
001,0.05,present,present,1.073259300000018,TRUE
001,0.0125,present,absent,0.35608079999997244,FALSE
001,0.0125,present,present,2.229170900000099,TRUE
001,0.0625,present,present,1.12516410000012,TRUE
001,0.0375,present,present,0.4047107000001233,TRUE
001,0.0625,absent,absent,0.7564571000000342,TRUE
001,0.025,present,absent,2.2764483999999356,FALSE
001,0.025,present,present,0.4997863999999481,TRUE
001,0.025,absent,absent,0.8043443000001389,TRUE
001,0.025,absent,absent,0.8035325999999259,TRUE
001,0.05,absent,present,1.0447190999998384,FALSE
001,0.0375,present,present,1.8428654000001643,TRUE
001,0.0125,present,present,0.7864105000001018,TRUE
001,0.075,present,present,0.37100710000004256,TRUE
001,0.05,present,absent,0.5636504000001423,FALSE
001,0.0625,absent,absent,0.8983662999999069,TRUE
001,0.0125,absent,absent,1.1555307000000994,TRUE
001,0.0375,present,present,0.6593451999999616,TRUE
001,0.0625,present,present,0.35436470000013287,TRUE
001,0.0625,present,present,0.3532895999999255,TRUE
001,0.025,present,absent,1.0443745000000035,FALSE
001,0.025,present,absent,0.46853809999993246,FALSE
001,0.0625,absent,absent,0.8205827000001591,TRUE
001,0.075,absent,absent,0.42109499999992295,TRUE
001,0.0375,present,present,0.709247699999878,TRUE
001,0.075,present,present,0.6582762999998977,TRUE
001,0.0375,absent,absent,0.3224827000001369,TRUE
001,0.0375,absent,absent,0.546227700000145,TRUE
001,0.025,present,present,0.7217662000000473,TRUE
001,0.05,absent,absent,0.5323084999999992,TRUE
001,0.0125,absent,absent,0.4848613999999998,TRUE
001,0.0125,present,present,0.6127607999999327,TRUE
001,0.0375,present,absent,0.5947995999999875,FALSE
001,0.075,absent,absent,1.1216741999999158,TRUE
001,0.075,present,present,0.4041422000000239,TRUE
001,0.0125,present,absent,0.8683945000000222,FALSE
001,0.025,present,absent,0.38808389999985593,FALSE
001,0.075,present,present,1.2183457999999519,TRUE
001,0.0625,present,present,0.8206572999999935,TRUE
001,0.025,present,absent,2.068360900000016,FALSE
001,0.0625,present,present,0.5775346000000354,TRUE
001,0.025,present,absent,2.227111500000092,FALSE
001,0.0375,present,present,0.5778372000002037,TRUE
001,0.0625,present,present,0.4025117000001046,TRUE
001,0.075,absent,absent,0.5797437999999602,TRUE
001,0.025,absent,absent,0.5318005999999968,TRUE
001,0.075,present,present,0.578364400000055,TRUE
001,0.05,present,absent,0.9325708999999733,FALSE
001,0.0625,present,present,0.3532208999999966,TRUE
001,0.0125,present,present,1.1951466000000437,TRUE
001,0.0125,present,present,0.4349948999999924,TRUE
001,0.075,present,present,0.8682275000001027,TRUE
001,0.0125,present,absent,0.4177468000000317,FALSE
001,0.0375,absent,absent,1.23715059999995,TRUE
