participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.0625,left,right,FALSE,left,0.6273941999997987,TRUE
001,0.0125,left,right,FALSE,right,2.033095699999649,FALSE
001,0.025,left,left,TRUE,left,0.44851250000010623,TRUE
001,0.075,left,left,TRUE,left,3.1382058999997753,TRUE
001,0.075,right,right,TRUE,left,2.15178509999987,FALSE
001,0.025,right,left,FALSE,left,0.4697722999999314,FALSE
001,0.0625,left,right,FALSE,right,0.48510350000015023,FALSE
001,0.025,right,left,FALSE,left,0.7001599000000169,FALSE
001,0.0625,left,right,FALSE,left,0.6290079000000333,TRUE
001,0.0625,left,left,TRUE,left,2.0915423999999803,TRUE
001,0.0125,right,left,FALSE,left,2.1559065000001283,FALSE
001,0.0625,left,left,TRUE,left,0.3660909999998694,TRUE
001,0.05,left,left,TRUE,left,2.568981099999746,TRUE
001,0.075,left,right,FALSE,left,1.0195943999997326,TRUE
001,0.0375,left,left,TRUE,left,0.1592593999998826,TRUE
001,0.0625,right,right,TRUE,right,0.34169810000003054,TRUE
001,0.075,left,right,FALSE,left,0.3621004000001449,TRUE
001,0.05,left,right,FALSE,right,0.13333319999992455,FALSE
001,0.05,left,right,FALSE,left,0.37842890000001717,TRUE
001,0.05,right,left,FALSE,left,0.14732909999975163,FALSE
001,0.0625,right,right,TRUE,right,1.094415300000037,TRUE
001,0.0375,left,right,FALSE,right,1.1655834999996841,FALSE
001,0.0375,right,right,TRUE,left,0.4739337999999407,FALSE
001,0.05,right,right,TRUE,right,0.764130699999896,TRUE
001,0.05,right,left,FALSE,left,0.32545929999969303,FALSE
001,0.05,left,right,FALSE,right,0.550010000000384,FALSE
001,0.075,right,right,TRUE,right,0.555897300000197,TRUE
001,0.0125,left,left,TRUE,left,0.020266999999876134,TRUE
001,0.025,right,left,FALSE,left,0.5043977000000268,FALSE
001,0.0625,right,right,TRUE,left,0.9045983999999407,FALSE
001,0.0375,right,left,FALSE,left,0.7141478999997162,FALSE
001,0.0625,left,left,TRUE,right,1.458940900000016,FALSE
001,0.0125,right,left,FALSE,left,1.0841989000000467,FALSE
001,0.025,right,right,TRUE,right,1.1896750000000793,TRUE
001,0.0125,left,left,TRUE,left,0.43730760000016744,TRUE
001,0.0375,right,right,TRUE,right,0.5402208000000428,TRUE
001,0.025,right,right,TRUE,right,0.6505625999998301,TRUE
001,0.025,right,right,TRUE,right,0.33864200000016353,TRUE
001,0.025,left,left,TRUE,left,0.4308955000001333,TRUE
001,0.075,right,left,FALSE,right,0.06077910000021802,TRUE
001,0.025,left,left,TRUE,left,0.2604127999998127,TRUE
001,0.025,left,right,FALSE,right,0.12298939999982395,FALSE
001,0.0125,left,right,FALSE,right,0.16974619999973584,FALSE
001,0.075,left,left,TRUE,left,0.6517079000000194,TRUE
001,0.05,right,right,TRUE,right,0.8548811000000569,TRUE
001,0.075,right,left,FALSE,right,0.6933882000002995,TRUE
001,0.025,right,right,TRUE,right,1.0122544000000744,TRUE
001,0.05,left,right,FALSE,right,0.32178509999994276,FALSE
001,0.0125,left,left,TRUE,left,0.43899810000038997,TRUE
001,0.075,right,right,TRUE,left,0.4223658000000796,FALSE
001,0.075,right,left,FALSE,right,0.842758700000104,TRUE
001,0.075,left,right,FALSE,left,0.7049262999998973,TRUE
001,0.0125,left,left,TRUE,left,0.6474604999998519,TRUE
001,0.075,right,right,TRUE,left,0.6603196000000935,FALSE
001,0.0625,left,left,TRUE,left,0.5641752000001361,TRUE
001,0.075,left,left,TRUE,right,0.5920714999997472,FALSE
001,0.0125,left,right,FALSE,right,0.731580600000143,FALSE
001,0.0625,right,left,FALSE,left,0.44692840000016076,FALSE
001,0.0625,left,right,FALSE,left,0.9359208999999282,TRUE
001,0.0625,right,left,FALSE,right,0.758049999999912,TRUE
001,0.05,right,right,TRUE,right,0.5818162999999004,TRUE
001,0.075,right,left,FALSE,right,0.5825572999997348,TRUE
001,0.0125,right,right,TRUE,right,0.596083599999929,TRUE
001,0.0375,left,left,TRUE,left,0.7652840999999171,TRUE
001,0.0375,right,left,FALSE,left,0.7044841000001725,FALSE
001,0.05,right,right,TRUE,left,0.545651199999611,FALSE
001,0.0125,left,left,TRUE,left,0.7295454000000063,TRUE
001,0.075,left,left,TRUE,right,0.48923180000019784,FALSE
001,0.0625,right,right,TRUE,right,0.38227610000012646,TRUE
001,0.0125,right,right,TRUE,right,0.7701945999997406,TRUE
001,0.0125,left,right,FALSE,right,0.8553880999998,FALSE
001,0.025,left,left,TRUE,left,0.7795642000000953,TRUE
001,0.0375,left,right,FALSE,left,0.6709170999997696,TRUE
001,0.0375,left,right,FALSE,right,0.3740703000003123,FALSE
001,0.05,left,left,TRUE,left,0.39145460000008825,TRUE
001,0.0125,left,right,FALSE,right,0.5018684000001485,FALSE
001,0.075,left,right,FALSE,right,1.3334075999996458,FALSE
001,0.025,right,right,TRUE,left,0.5648395000002893,FALSE
001,0.0375,right,left,FALSE,right,0.8190969000002042,TRUE
001,0.05,right,right,TRUE,left,0.9008844999998473,FALSE
001,0.075,right,right,TRUE,right,0.7173892000000706,TRUE
001,0.0125,right,right,TRUE,right,0.564594500000112,TRUE
001,0.0625,left,right,FALSE,left,0.40262380000012854,TRUE
001,0.0125,right,right,TRUE,right,0.5303839000002881,TRUE
001,0.0625,left,left,TRUE,right,0.7509147999999186,FALSE
001,0.0375,right,left,FALSE,left,0.7875076000000263,FALSE
001,0.025,left,right,FALSE,right,0.40127639999991516,FALSE
001,0.05,left,left,TRUE,left,0.9550963000001502,TRUE
001,0.0375,right,right,TRUE,right,0.8898478999999497,TRUE
001,0.05,right,right,TRUE,right,0.7277384999997594,TRUE
001,0.0375,left,left,TRUE,left,0.37312359999987166,TRUE
001,0.0625,left,left,TRUE,left,0.3946230999999898,TRUE
001,0.0375,right,left,FALSE,right,0.4436435000002348,TRUE
001,0.05,right,left,FALSE,left,0.46809350000012273,FALSE
001,0.025,left,left,TRUE,left,0.5266397000000325,TRUE
001,0.05,right,left,FALSE,left,0.7061961000003976,FALSE
001,0.0125,right,left,FALSE,left,1.773040999999921,FALSE
001,0.0375,left,left,TRUE,left,0.6594527000002017,TRUE
001,0.0375,right,left,FALSE,left,0.8016301000002386,FALSE
001,0.0625,right,right,TRUE,right,0.3598050999999032,TRUE
001,0.075,left,left,TRUE,left,0.3025465999999142,TRUE
001,0.075,right,left,FALSE,left,0.5089527999998609,FALSE
001,0.0125,right,left,FALSE,left,0.3735055000001921,FALSE
001,0.0625,right,left,FALSE,left,1.199232700000266,FALSE
001,0.05,left,left,TRUE,left,1.8516795000000457,TRUE
001,0.0625,right,left,FALSE,left,0.6420524000000114,FALSE
001,0.0375,left,right,FALSE,right,1.952407399999629,FALSE
001,0.0625,right,left,FALSE,left,0.5539401999999427,FALSE
001,0.0625,right,left,FALSE,left,1.2763104999999086,FALSE
001,0.025,left,left,TRUE,left,1.071745700000065,TRUE
001,0.0125,right,left,FALSE,left,0.6122384000000238,FALSE
001,0.025,right,left,FALSE,left,1.1267572000001564,FALSE
001,0.0375,right,right,TRUE,right,1.0915483000003405,TRUE
001,0.025,left,right,FALSE,right,0.4858422000002065,FALSE
001,0.075,left,right,FALSE,left,1.2500852999996823,TRUE
001,0.075,right,right,TRUE,right,0.987035300000116,TRUE
001,0.025,left,right,FALSE,right,0.8993549000001622,FALSE
001,0.05,left,right,FALSE,right,1.4420240999997986,FALSE
001,0.025,right,left,FALSE,left,1.0234655999997813,FALSE
001,0.0375,right,right,TRUE,right,1.658944899999824,TRUE
001,0.0125,right,left,FALSE,left,1.066687400000319,FALSE
001,0.0375,left,right,FALSE,right,0.6567073000001074,FALSE
001,0.025,right,right,TRUE,right,1.4925284999999349,TRUE
001,0.05,left,left,TRUE,left,1.3858644000001732,TRUE
001,0.0125,right,right,TRUE,right,0.7703120000001036,TRUE
001,0.0125,right,right,TRUE,right,1.103990099999919,TRUE
001,0.075,left,left,TRUE,left,0.6584719000002224,TRUE
001,0.05,left,right,FALSE,right,0.8521648000000823,FALSE
001,0.025,right,left,FALSE,left,0.6713908000001538,FALSE
001,0.075,left,right,FALSE,right,0.9703471999996509,FALSE
001,0.0125,left,right,FALSE,right,1.1896621999999297,FALSE
001,0.05,right,left,FALSE,left,1.4609496000002764,FALSE
001,0.0375,right,right,TRUE,right,1.078713500000049,TRUE
