participant,session,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,01,0.0375,right,left,FALSE,left,0.42031680000013694,TRUE
001,01,0.025,right,right,TRUE,right,0.4071857999999793,TRUE
001,01,0.0625,right,right,TRUE,right,0.3808702999999696,TRUE
001,01,0.025,right,right,TRUE,right,0.45589029999996455,TRUE
001,01,0.0375,left,left,TRUE,left,0.41607740000017657,TRUE
001,01,0.075,right,right,TRUE,right,0.4804762999999639,TRUE
001,01,0.3,right,right,TRUE,right,0.45742539999992005,TRUE
001,01,0.0375,right,left,FALSE,left,0.48060610000015913,TRUE
001,01,0.025,right,right,TRUE,right,0.45917979999990166,TRUE
001,01,0.0625,right,left,FALSE,left,0.4183749000001171,TRUE
001,01,0.3,right,left,FALSE,left,0.4159204999998565,TRUE
001,01,0.05,left,right,FALSE,right,0.45527999999990243,TRUE
001,01,0.075,left,right,FALSE,right,0.42275420000009944,TRUE
001,01,0.3,left,left,TRUE,left,0.24658920000001672,TRUE
001,01,0.3,right,right,TRUE,right,0.30872309999995196,TRUE
001,01,0.05,left,left,TRUE,left,0.3065060999999787,TRUE
001,01,0.0625,left,left,TRUE,left,0.432420699999966,TRUE
001,01,0.025,right,left,FALSE,left,0.37056950000010147,TRUE
001,01,0.05,left,left,TRUE,left,0.34638909999989664,TRUE
001,01,0.0125,right,right,TRUE,right,0.399224600000025,TRUE
001,01,0.0125,right,left,FALSE,left,0.49554550000016206,TRUE
001,01,0.075,right,left,FALSE,left,0.31634410000015123,TRUE
001,01,0.0625,left,left,TRUE,left,0.36489979999987554,TRUE
001,01,0.0625,right,right,TRUE,right,0.4360176999998657,TRUE
001,01,0.05,right,left,FALSE,left,0.4960513000000901,TRUE
001,01,0.0125,right,right,TRUE,right,0.4196689999998853,TRUE
001,01,0.0625,right,left,FALSE,left,0.36898279999991246,TRUE
001,01,0.0625,right,left,FALSE,left,0.3948140999998486,TRUE
001,01,0.0625,left,right,FALSE,right,0.41513639999993757,TRUE
001,01,0.025,left,right,FALSE,right,0.36909609999997883,TRUE
001,01,0.05,left,right,FALSE,right,0.4402922000001581,TRUE
001,01,0.075,right,right,TRUE,right,0.41478780000011284,TRUE
001,01,0.025,left,left,TRUE,left,0.33063349999997627,TRUE
001,01,0.0625,left,left,TRUE,left,0.29377230000000054,TRUE
001,01,0.0375,right,right,TRUE,right,0.39811359999998785,TRUE
001,01,0.075,left,left,TRUE,left,0.3002718999998706,TRUE
001,01,0.05,right,left,FALSE,left,0.43914920000020174,TRUE
001,01,0.075,left,left,TRUE,left,0.46576649999997244,TRUE
001,01,0.0625,right,left,FALSE,left,0.4360825000001114,TRUE
001,01,0.0125,left,left,TRUE,left,0.38604880000002595,TRUE
001,01,0.0375,right,left,FALSE,left,0.36258889999999155,TRUE
001,01,0.3,left,right,FALSE,right,0.444370200000094,TRUE
001,01,0.025,left,left,TRUE,left,0.48686499999985244,TRUE
001,01,0.025,left,right,FALSE,right,0.42655439999998634,TRUE
001,01,0.3,left,left,TRUE,left,0.21064909999995507,TRUE
001,01,0.025,left,right,FALSE,right,0.3529645999999502,TRUE
001,01,0.0125,right,right,TRUE,right,0.3995153000000755,TRUE
001,01,0.3,left,left,TRUE,left,0.20446319999996376,TRUE
001,01,0.3,right,right,TRUE,right,0.21996100000001206,TRUE
001,01,0.05,left,right,FALSE,right,0.4033211000000847,TRUE
001,01,0.025,right,right,TRUE,right,0.30315330000007634,TRUE
001,01,0.025,right,left,FALSE,left,0.3704941000000872,TRUE
001,01,0.05,right,right,TRUE,right,0.37749299999995856,TRUE
001,01,0.0125,right,right,TRUE,right,0.4191739999998845,TRUE
001,01,0.0625,left,left,TRUE,left,0.40882990000000063,TRUE
001,01,0.075,left,right,FALSE,right,0.41384850000008555,TRUE
001,01,0.075,right,right,TRUE,right,0.33940000000006876,TRUE
001,01,0.0125,right,left,FALSE,left,0.3392989999999827,TRUE
001,01,0.075,right,left,FALSE,left,0.3546582999999828,TRUE
001,01,0.075,left,left,TRUE,left,0.2468344999999772,TRUE
001,01,0.05,right,right,TRUE,right,0.31783440000003793,TRUE
001,01,0.05,right,left,FALSE,left,0.2897239000001264,TRUE
001,01,0.0625,right,right,TRUE,right,0.3023399999999583,TRUE
001,01,0.0125,left,right,FALSE,right,0.3717125999999098,TRUE
001,01,0.075,right,left,FALSE,left,0.3307021000000532,TRUE
001,01,0.0125,left,left,TRUE,left,0.4293721000001369,TRUE
001,01,0.0125,left,left,TRUE,left,0.3300343000000794,TRUE
001,01,0.05,left,left,TRUE,left,0.3411892000001444,TRUE
001,01,0.0375,left,right,FALSE,right,0.43785929999990003,TRUE
001,01,0.05,left,right,FALSE,right,0.3378462999999101,TRUE
001,01,0.0125,left,right,FALSE,right,0.408133399999997,TRUE
001,01,0.0625,left,right,FALSE,right,0.4381208999998307,TRUE
001,01,0.0375,left,left,TRUE,left,0.33944850000011684,TRUE
001,01,0.075,left,right,FALSE,right,0.38394479999988107,TRUE
001,01,0.3,left,left,TRUE,left,0.38143990000003214,TRUE
001,01,0.025,right,left,FALSE,left,0.4811008000001493,TRUE
001,01,0.05,right,right,TRUE,right,0.4395756999999776,TRUE
001,01,0.0125,right,left,FALSE,left,0.35689049999996314,TRUE
001,01,0.0375,right,right,TRUE,right,0.2900634000000082,TRUE
001,01,0.025,right,left,FALSE,left,0.33374229999981253,TRUE
001,01,0.0375,right,right,TRUE,right,0.2634118999999373,TRUE
001,01,0.0125,left,left,TRUE,left,0.30847349999999096,TRUE
001,01,0.025,left,left,TRUE,left,0.31882610000002387,TRUE
001,01,0.0125,right,left,FALSE,left,0.32911730000000716,TRUE
001,01,0.0625,left,right,FALSE,right,0.3186324999999215,TRUE
001,01,0.0125,left,right,FALSE,right,0.2899727999999868,TRUE
001,01,0.0375,left,right,FALSE,right,0.3844788999999764,TRUE
001,01,0.0375,left,left,TRUE,left,0.28631190000010065,TRUE
001,01,0.0375,left,right,FALSE,right,0.3453206000001501,TRUE
001,01,0.3,right,right,TRUE,right,0.19250609999994595,TRUE
001,01,0.0625,left,right,FALSE,right,0.38297959999999875,TRUE
001,01,0.025,left,right,FALSE,right,0.32648779999999533,TRUE
001,01,0.3,right,left,FALSE,left,0.4369547999999668,TRUE
001,01,0.05,left,left,TRUE,left,0.3048561000000518,TRUE
001,01,0.075,left,right,FALSE,right,0.3126439999998638,TRUE
001,01,0.025,left,left,TRUE,left,0.33746789999986504,TRUE
001,01,0.075,right,right,TRUE,right,0.21295439999994414,TRUE
001,01,0.0625,right,right,TRUE,right,0.20648189999997157,TRUE
001,01,0.0375,right,right,TRUE,right,0.30567919999998594,TRUE
001,01,0.075,left,left,TRUE,left,0.2597075999999561,TRUE
001,01,0.05,right,right,TRUE,right,0.2873475999999755,TRUE
001,01,0.0375,right,left,FALSE,left,0.29069780000008905,TRUE
001,01,0.0375,left,left,TRUE,left,0.2502180000001317,TRUE
