participant,session,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,01,0.0625,left,right,FALSE,left,1.2529179000000568,TRUE
001,01,0.05,right,left,FALSE,left,1.246797700000002,FALSE
001,01,0.075,right,left,FALSE,right,0.4239604000000554,TRUE
001,01,0.0125,right,right,TRUE,right,0.43692109999994955,TRUE
001,01,0.075,left,right,FALSE,left,0.3855823999999757,TRUE
001,01,0.0625,left,left,TRUE,right,0.33506099999999606,FALSE
001,01,0.3,right,left,FALSE,right,0.36929700000007415,TRUE
001,01,0.0625,right,left,FALSE,left,0.4646473000000242,FALSE
001,01,0.0625,right,left,FALSE,right,0.7256757999999763,TRUE
001,01,0.3,right,right,TRUE,right,0.3936264999999821,TRUE
001,01,0.0125,right,right,TRUE,left,0.5720997999999327,FALSE
001,01,0.0375,right,right,TRUE,left,0.3503524999999854,FALSE
001,01,0.075,left,left,TRUE,left,0.5210475000000088,TRUE
001,01,0.05,right,right,TRUE,left,0.5609000999999125,FALSE
001,01,0.0625,left,left,TRUE,left,0.6200911999999335,TRUE
001,01,0.075,left,left,TRUE,right,0.6743231000000378,FALSE
001,01,0.0125,right,right,TRUE,right,0.39472620000015013,TRUE
001,01,0.025,right,right,TRUE,right,0.48421639999992294,TRUE
001,01,0.0125,left,left,TRUE,left,0.35485880000010184,TRUE
001,01,0.0125,left,right,FALSE,right,0.33613660000014534,FALSE
001,01,0.0375,right,right,TRUE,right,0.6696702000001551,TRUE
001,01,0.0125,left,right,FALSE,right,0.5977615000001606,FALSE
001,01,0.075,right,right,TRUE,left,0.48118750000003274,FALSE
001,01,0.075,right,left,FALSE,right,0.5582858000000215,TRUE
001,01,0.0125,right,left,FALSE,left,0.5910839000000578,FALSE
001,01,0.3,left,left,TRUE,left,0.3691013000000112,TRUE
001,01,0.0125,right,left,FALSE,left,0.3064148999999361,FALSE
001,01,0.05,left,left,TRUE,left,0.26598120000016934,TRUE
001,01,0.025,left,right,FALSE,right,0.2700643000000582,FALSE
001,01,0.025,left,right,FALSE,right,0.3143724999999904,FALSE
001,01,0.025,right,right,TRUE,left,0.28879399999982525,FALSE
001,01,0.025,left,left,TRUE,left,0.23829120000004878,TRUE
001,01,0.025,left,right,FALSE,left,0.32332960000007915,TRUE
001,01,0.0125,left,left,TRUE,left,0.3735285999998723,TRUE
001,01,0.3,left,left,TRUE,left,0.30162099999984093,TRUE
001,01,0.3,left,right,FALSE,left,0.06946390000007341,TRUE
001,01,0.0625,left,right,FALSE,left,0.3081436999998459,TRUE
001,01,0.025,left,right,FALSE,left,0.22839330000010705,TRUE
001,01,0.0125,left,left,TRUE,right,0.36238509999998314,FALSE
001,01,0.075,right,right,TRUE,left,0.4610635999999886,FALSE
001,01,0.0375,right,right,TRUE,right,0.648926099999926,TRUE
001,01,0.075,left,left,TRUE,left,0.3276315999999042,TRUE
001,01,0.3,right,left,FALSE,right,0.2837297999999464,TRUE
001,01,0.05,left,right,FALSE,left,0.3569724999999835,TRUE
001,01,0.0375,right,left,FALSE,right,0.4212838999999349,TRUE
001,01,0.05,right,right,TRUE,left,0.3757527999998729,FALSE
001,01,0.05,left,right,FALSE,left,0.33751950000009856,TRUE
001,01,0.3,right,left,FALSE,right,0.2665588000002117,TRUE
001,01,0.075,left,right,FALSE,left,0.04871570000000247,TRUE
001,01,0.025,left,left,TRUE,right,0.9073068999998668,FALSE
001,01,0.3,left,left,TRUE,left,0.4030674000000545,TRUE
001,01,0.3,right,right,TRUE,right,0.35336449999999786,TRUE
001,01,0.075,right,right,TRUE,left,0.35578850000001694,FALSE
001,01,0.075,left,left,TRUE,left,0.5415210999999545,TRUE
001,01,0.0625,left,left,TRUE,left,0.4604765999999927,TRUE
001,01,0.0375,left,right,FALSE,right,0.8901656999998977,FALSE
001,01,0.0375,right,left,FALSE,right,0.4122781999999461,TRUE
001,01,0.3,right,left,FALSE,right,0.4074398000000201,TRUE
