participant,soa,bf,cohensd
001,0.0625,1251.687132585544,0.3
001,0.05,6.42587439079038,0.2
001,0.075,0.24866530928092173,0.2
001,0.0125,0.26791289737392293,-0.1
001,0.3,22763630210125748,-3.4
001,0.0375,0.7557268995973714,0.2
001,0.025,0.18182195575175406,0.1
002,0.3,20671008861982437e7,-2.3
002,0.075,204.37494301691666,-0.5
002,0.0375,11.87775713826804,0.3
002,0.05,0.25179716694600707,0.2
002,0.025,0.09526868091816733,0.1
002,0.0625,0.04061808160912074,-0
002,0.0125,0.028299631393877138,0
003,0.0125,0.030300995164793555,-0
003,0.075,1604242653066502.5,0.6
003,0.0625,4027266849740975,0.7
003,0.0375,1526395235794369.8,0.5
003,0.05,975625168309387.4,0.6
003,0.025,143876564737857630,0.4
003,0.3,8571295341122624e21,-4.2
004,0.3,4300330065347468.5,-2.1
004,0.0625,9784599110955380,0.9
004,0.05,989283123561318.5,0.6
004,0.0125,0.02628652460558411,0
004,0.075,84595056401640780,0.6
004,0.025,25267368272134608,0.5
004,0.0375,2220330132496178.8,0.6
005,0.0375,711387.5626843215,0.3
005,0.3,144522563017847e5,-1.9
005,0.025,4.0156271741857195,0.2
005,0.0625,2505038413418190,0.6
005,0.075,16862178045375808,0.5
005,0.0125,6.072762930298466,-0.2
005,0.05,2651334920139924500,0.4
006,0.025,0.5407558545075825,0.2
006,0.3,3724485164478633,-1.9
006,0.0375,1522180551145256e4,0.5
006,0.075,0.04540132343296349,0.1
006,0.0125,0.024186705000191325,0
006,0.0625,0.037851168999646106,0.1
006,0.05,19.32191154824397,0.3
