participant,soa,trim,bf,cohensd
001,0.0125,2.5sd,0.18480121294532623,-0.1
001,0.025,2.5sd,0.23520383766549335,0.1
001,0.0375,2.5sd,0.7160551669434942,0.2
001,0.05,2.5sd,4.693803528465988,0.2
001,0.0625,2.5sd,171917.88581900633,0.3
001,0.075,2.5sd,0.24101175740798378,0.2
001,0.3,2.5sd,19961370868619554e15,-3.4
002,0.0125,2.5sd,0.03151839767195927,0
002,0.025,2.5sd,0.1022321683904137,0.1
002,0.0375,2.5sd,47.517135898810146,0.3
002,0.05,2.5sd,0.2637542591258509,0.2
002,0.0625,2.5sd,0.03720846514205037,-0
002,0.075,2.5sd,59.17081224279748,-0.4
002,0.3,2.5sd,9249411684695894e7,-2.3
003,0.0125,2.5sd,0.030265997204621534,-0
003,0.025,2.5sd,3.6042695257140157e+18,0.4
003,0.0375,2.5sd,1041706336064954.2,0.5
003,0.05,2.5sd,27738073715206686e7,0.6
003,0.0625,2.5sd,165198380118079420,0.7
003,0.075,2.5sd,48512011023660096,0.6
003,0.3,2.5sd,22056708585734554e8,-4.2
004,0.0125,2.5sd,0.028438321867813227,0
004,0.025,2.5sd,29975146866571620,0.5
004,0.0375,2.5sd,11521745075855966,0.6
004,0.05,2.5sd,1109555799992285.4,0.6
004,0.0625,2.5sd,1275066224033837.8,0.8
004,0.075,2.5sd,2488136153553e5,0.7
004,0.3,2.5sd,482246615771153e8,-2
005,0.0125,2.5sd,3.4460222563039857,-0.2
005,0.025,2.5sd,4.0351732826218685,0.2
005,0.0375,2.5sd,76.48166051847745,0.3
005,0.05,2.5sd,1093088601217189.6,0.4
005,0.0625,2.5sd,2081643271414417.2,0.6
005,0.075,2.5sd,1.1652690351192299e+17,0.5
005,0.3,2.5sd,7349811751571510,-1.8
006,0.0125,2.5sd,0.024422842503081868,0
006,0.025,2.5sd,0.9801879862097513,0.2
006,0.0375,2.5sd,719733620263133.9,0.5
006,0.05,2.5sd,108.83424987761141,0.3
006,0.0625,2.5sd,0.04475932537195462,0.1
006,0.075,2.5sd,0.05016755298055845,0.1
006,0.3,2.5sd,2.6926790273327722e+17,-1.8
001,0.0125,2sd,0.29924076874495104,-0.1
001,0.025,2sd,0.8964836197075712,0.2
001,0.0375,2sd,1.3504986171127515,0.2
001,0.05,2sd,19.3396289907875,0.2
001,0.0625,2sd,124973.25415386797,0.3
001,0.075,2sd,0.4715703942968821,0.2
001,0.3,2sd,8687184372085181e8,-3.4
002,0.0125,2sd,0.037097282867986046,0.1
002,0.025,2sd,0.23770276187188502,0.2
002,0.0375,2sd,26.960892882631533,0.3
002,0.05,2sd,0.43321471852828125,0.2
002,0.0625,2sd,0.039128019522067216,-0
002,0.075,2sd,101.21939999851116,-0.4
002,0.3,2sd,1788458257954938e22,-2.3
003,0.0125,2sd,0.0271975317615062,-0
003,0.025,2sd,1762261108910208.8,0.4
003,0.0375,2sd,1148159264322496800,0.5
003,0.05,2sd,1932685305071599.8,0.6
003,0.0625,2sd,47931318159470376,0.8
003,0.075,2sd,3674259685846741.5,0.6
003,0.3,2sd,3064994214559869e4,-4.2
004,0.0125,2sd,0.04952917450376181,0.1
004,0.025,2sd,510294030561274.4,0.5
004,0.0375,2sd,11899190616421466,0.6
004,0.05,2sd,82713733688204080,0.7
004,0.0625,2sd,48581488259720550,0.9
004,0.075,2sd,1930281740058084.2,0.7
004,0.3,2sd,5429415482160074e7,-2
005,0.0125,2sd,1.4508076868030018,-0.2
005,0.025,2sd,52.29682946169608,0.3
005,0.0375,2sd,1295287732.3339252,0.3
005,0.05,2sd,479568409249775300,0.5
005,0.0625,2sd,685514160669917.5,0.6
005,0.075,2sd,3603779410784051.5,0.5
005,0.3,2sd,14422479502977190,-1.9
006,0.0125,2sd,0.02879358724094385,0
006,0.025,2sd,2.4772030868328336,0.2
006,0.0375,2sd,5823962748448872e3,0.6
006,0.05,2sd,104.34836381631926,0.3
006,0.0625,2sd,0.08267744351921155,0.1
006,0.075,2sd,0.06079197007783281,0.1
006,0.3,2sd,5120161399872545,-1.8
