soa,trim,bf,cohensd
0.0125,2.5sd,0.019342740202698324,0.12
0.025,2.5sd,1106589096927314400,0.87
0.0375,2.5sd,40268789362398.836,1.39
0.05,2.5sd,22326628171454.824,1.74
0.0625,2.5sd,10739601153320.545,1.99
0.075,2.5sd,66291296091657.625,1.99
0.3,2.5sd,292631253690395.4,1.43
0.0125,2sd,19134.34527453064,0.18
0.025,2sd,16866120137704.752,0.87
0.0375,2sd,28089284210503.336,1.33
0.05,2sd,96021498615924.42,1.67
0.0625,2sd,8981715612052.547,1.98
0.075,2sd,23146473169522.047,1.95
0.3,2sd,8346588970714640,1.3
