participant,soa,trim,bf,cohensd
001,0.0125,2.5sd,0.0012883956558935056,0.1
001,0.025,2.5sd,43713291328253.81,0.7
001,0.0375,2.5sd,2693678184554856e50,1
001,0.05,2.5sd,311074572657532900,1.1
001,0.0625,2.5sd,8380844846936735e8,1.1
001,0.075,2.5sd,19057517231533539e5,1.1
001,0.3,2.5sd,220317066686452670,0.7
002,0.0125,2.5sd,0.005103638912314474,0.2
002,0.025,2.5sd,7833336750054095e8,0.9
002,0.0375,2.5sd,367324412339362.4,1.5
002,0.05,2.5sd,21334792875139460,1.9
002,0.0625,2.5sd,28585457893376.99,2.3
002,0.075,2.5sd,438518499922989e3,2.2
002,0.3,2.5sd,5260753853838839e27,1.3
003,0.0125,2.5sd,0.0011345429900271814,0.1
003,0.025,2.5sd,9975210764769172,0.7
003,0.0375,2.5sd,4298184511288518e19,1
003,0.05,2.5sd,2291324232899198.5,1.6
003,0.0625,2.5sd,184922820969075680,2.2
003,0.075,2.5sd,201175716272159.9,1.8
003,0.3,2.5sd,13877096383096422e34,0.8
004,0.0125,2.5sd,0.0019040567293583468,0.2
004,0.025,2.5sd,12917041139606069e90,1.4
004,0.0375,2.5sd,17343151345792214e21,2.3
004,0.05,2.5sd,52607476578944.63,2.8
004,0.0625,2.5sd,35044967474622.55,3.1
004,0.075,2.5sd,109320656331115.89,2.8
004,0.3,2.5sd,51104916222895.41,3.6
005,0.0125,2.5sd,9.549490171838529e-4,-0
005,0.025,2.5sd,16611035113385.107,0.7
005,0.0375,2.5sd,5898443147415483e21,0.9
005,0.05,2.5sd,12046414301596684,1.4
005,0.0625,2.5sd,7786016222278306,1.5
005,0.075,2.5sd,8412502868897269e9,1.7
005,0.3,2.5sd,19368022244522482e4,1.3
006,0.0125,2.5sd,0.0026753092645785815,0.2
006,0.025,2.5sd,11689004364553.926,0.7
006,0.0375,2.5sd,354426914945473.4,1.7
006,0.05,2.5sd,23060754148468.34,2.2
006,0.0625,2.5sd,363938634537578.1,2
006,0.075,2.5sd,97419316735058.45,2.3
006,0.3,2.5sd,2690967979895998,2.3
001,0.0125,2sd,0.001214792758370715,0.1
001,0.025,2sd,4496605178096089e98,0.7
001,0.0375,2sd,5567406420575947e18,0.9
001,0.05,2sd,93898384152637730,1
001,0.0625,2sd,1439085539387927e8,1.1
001,0.075,2sd,12990182874012694e10,1.1
001,0.3,2sd,334758249819985.25,0.6
002,0.0125,2sd,0.015989844017662746,0.3
002,0.025,2sd,276152591669799420,0.9
002,0.0375,2sd,9183000496417732e29,1.5
002,0.05,2sd,4171994882701818e3,1.8
002,0.0625,2sd,29696387306462476,2.2
002,0.075,2sd,826649778196935.25,2.1
002,0.3,2sd,27253543553406137e30,1.2
003,0.0125,2sd,0.0061834679589167635,0.2
003,0.025,2sd,1156581238425228800,0.7
003,0.0375,2sd,6132435598044281e126,1
003,0.05,2sd,17117858085191408e4,1.5
003,0.0625,2sd,18355398661743.105,2.1
003,0.075,2sd,14259726588039426e5,1.8
003,0.3,2sd,8307017884448380,0.7
004,0.0125,2sd,0.014733569981515877,0.3
004,0.025,2sd,45035691816339296,1.4
004,0.0375,2sd,92342471216487740,2.2
004,0.05,2sd,57127695363257.78,2.6
004,0.0625,2sd,270466476158006850,3.1
004,0.075,2sd,90098322855848.33,2.7
004,0.3,2sd,3.0565523732979443e+17,3.4
005,0.0125,2sd,0.001335067584998223,0.1
005,0.025,2sd,1433513024040617,0.8
005,0.0375,2sd,3666579536559103e48,1
005,0.05,2sd,693623174762664300,1.3
005,0.0625,2sd,32408926809216944,1.5
005,0.075,2sd,1825030245606903,1.7
005,0.3,2sd,14751645210132164e148,1.3
006,0.0125,2sd,0.006715452310299928,0.2
006,0.025,2sd,18421461428257333e6,0.7
006,0.0375,2sd,19704791063304404,1.6
006,0.05,2sd,28192430998336.1,2
006,0.0625,2sd,4432500682686466.5,2
006,0.075,2sd,76812266442524.67,2.2
006,0.3,2sd,45940906201728240,2.1
